Country	Sector	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Czechia	Information and communication	2614.50	2954.70	3564.70	3677.60	3894.00	4713.00	5525.70	6362.00	7364.10	6980.50	7164.30	7446.70	7220.50	6972.80	6943.70	7550.50	8111.40	9216.10	10599.40	12571.80	13030.20	15299.50	17551.90	20220.40	20870.50
Czechia	Professional, scientific and technical activities; administrative and support service activities	3616.40	4128.90	5256.80	5258.70	5751.70	6608.40	7307.70	8450.50	10092.80	9213.50	9652.00	9633.80	9980.20	9977.20	9740.90	10165.10	11096.10	12341.80	13531.10	14714.60	13786.40	15710.00	18403.80	20967.00	21621.70
Czechia	Public administration, defence, education, human health and social work activities	8575.70	9764.00	12063.90	12522.30	13044.70	14936.70	16510.20	17883.80	20953.60	20678.20	21600.90	21972.50	21884.70	21552.90	21161.50	22179.10	23415.00	25756.70	29012.50	31884.20	33622.60	37624.10	41244.40	45582.50	45926.40
Czechia	Real estate activities	4932.00	5442.00	6374.10	6427.80	6889.70	8085.70	9083.80	9901.80	12251.80	12300.80	14701.20	15011.30	14735.00	14406.20	14358.10	15161.20	16335.50	18166.40	21279.10	23485.40	24752.30	28395.40	32989.70	35556.80	35929.40
Czechia	Total - all NACE activities	61440.10	69457.50	80320.30	81356.90	87689.70	99873.90	113209.30	125780.70	146823.90	135019.60	144502.80	150546.40	147400.90	143926.70	143913.50	153657.00	161310.80	177057.70	192659.10	207645.50	200921.00	224220.10	261260.40	293132.60	292777.00
Czechia	Wholesale and retail trade, transport, accommodation and food service activities	13596.20	15111.30	17706.10	17921.90	18370.60	20553.40	23273.60	25459.70	29555.40	25063.20	26777.50	27310.40	26769.90	25749.30	25615.80	27969.10	29333.60	33019.20	35348.70	37355.60	34237.50	39443.30	46431.20	50938.60	51225.70
Denmark	Agriculture, forestry and fishing	3823.90	4253.40	3333.50	3073.10	3240.20	2412.40	2591.00	2738.20	2042.90	1874.30	2893.00	3146.80	4113.50	3261.40	3595.20	2472.40	2621.70	3708.50	3001.30	3829.80	4174.60	3711.40	3814.40	3883.40	3640.40
Denmark	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	5080.00	5388.00	5578.30	5716.30	5923.40	6149.40	6428.30	6551.10	6906.80	7121.30	7265.00	7503.60	7557.50	7619.50	7699.50	7721.40	7981.00	8288.70	8245.40	8500.20	8527.30	8431.40	9060.90	9697.30	10545.00
Denmark	Construction	8390.00	8134.30	8427.20	8968.70	9419.10	9874.30	11212.80	11476.50	12643.50	10361.20	9397.30	10031.80	10137.40	10249.30	10652.10	11821.80	13448.40	14389.10	14815.10	14717.20	14659.90	16002.20	16897.20	17991.40	16777.20
Denmark	Financial and insurance activities	6968.60	7368.70	7738.90	8123.70	8438.80	9280.90	9807.50	10771.50	12131.00	12397.90	12715.50	12356.60	13392.10	13148.00	13389.60	13777.80	13887.90	14435.60	14678.20	14439.70	14411.30	15547.40	15476.90	18445.00	19114.30
